"상태","업체명","식별번호","규격","2025-12-17","2025-12-24","2025-12-25","변동액","계약종료일"
"SAME","주식회사 아이티에스","24814291","데스크톱컴퓨터, 아이티에스, ITS-DS12-G4B21, Intel Core i5 12400(2.5GHz)","709000","709000","709000","0","2028.02.12"
"SAME","주식회사 아이티에스","24814333","데스크톱컴퓨터, 아이티에스, ITS-DT12-G4B21, Intel Core i5 12400(2.5GHz)","709000","709000","709000","0","2028.02.12"
"SAME","주식회사 인텍","25319766","데스크톱컴퓨터, 인텍, IT176-T3416300, Intel Core i5 13400(2.5GHz)","713800","713800","713800","0","2029.03.14"
"SAME","위더스컴퓨터 주식회사","24489402","데스크톱컴퓨터, 위더스컴퓨터, A5S-56N2H116, AMD RYGEN5 5600G(3.9GHz)","714000","714000","714000","0","2029.09.30"
"SAME","위더스컴퓨터 주식회사","24489404","데스크톱컴퓨터, 위더스컴퓨터, A5T-56N2H116, AMD RYGEN5 5600G(3.9GHz)","714000","714000","714000","0","2029.09.30"
"SAME","(주)컴트리","25101189","데스크톱컴퓨터, 컴트리, CSG-D5H8IB0, Intel Core i5 13500(2.5GHz)","716200","716200","716200","0","2029.09.30"
"SAME","주식회사 비엔피","25031909","데스크톱컴퓨터, 비엔피, B3S-3T8S2H1, Intel Core i3 13100(3.4GHz)","716300","716300","716300","0","2029.09.30"
"SAME","주식회사 에이치케이시스템","25180433","데스크톱컴퓨터, 에이치케이시스템, HSAC-RMXC0PB, AMD Ryzen5 PRO 7645(3.8GHz)","719700","719700","719700","0","2029.09.30"
"SAME","주식회사 테트라","25088304","데스크톱컴퓨터, 테트라, T-DS315S16-P4VNO, Intel Core i3 13100(3.4GHz)","720100","720100","720100","0","2029.09.30"
"SAME","주식회사 기린","24481826","데스크톱컴퓨터, 기린, KR161-T2108210, Intel Core i3 12100(3.3GHz)","722500","722500","722500","0","2029.09.30"
"SAME","주식회사 서버앤컴퓨터","24158953","데스크톱컴퓨터, 서버앤컴퓨터, DECA-N5815, Intel Core i5 10500(3.1GHz)","724000","724000","724000","0","2026.04.29"
"SAME","위더스컴퓨터 주식회사","24487388","데스크톱컴퓨터, 위더스컴퓨터, H6S-10N2H18, Intel Core i3 12100(3.3GHz)","725000","725000","725000","0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","25248766","데스크톱컴퓨터, 삼보컴퓨터, DG481-GB31-008, Intel Core i3 13100(3.4GHz)","726000","726000","726000","0","2029.09.30"
"SAME","주식회사 아이티에스","25155328","데스크톱컴퓨터, 아이티에스, ITS-DS13-G3A21, Intel Core i3 13100(3.4GHz)","726000","726000","726000","0","2028.02.12"
"SAME","주식회사 아이티에스","25155336","데스크톱컴퓨터, 아이티에스, ITS-DT13-G3A21, Intel Core i3 13100(3.4GHz)","726000","726000","726000","0","2028.02.12"
"SAME","주식회사 아이티에스","24814297","데스크톱컴퓨터, 아이티에스, ITS-DS12-G4B51, Intel Core i5 12400(2.5GHz)","729000","729000","729000","0","2028.02.12"
"SAME","주식회사 아이티에스","24814335","데스크톱컴퓨터, 아이티에스, ITS-DT12-G4B51, Intel Core i5 12400(2.5GHz)","729000","729000","729000","0","2028.02.12"
"SAME","주식회사 에이치케이시스템","25770789","데스크톱컴퓨터, 에이치케이시스템, HSAB-N6WA1PB, AMD Ryzen5 5500GT(3.6GHz)","729600","729600","729600","0","2029.09.30"
"SAME","주식회사 에이치케이시스템","25769852","데스크톱컴퓨터, 에이치케이시스템, HMAB-N6WA1PC, AMD Ryzen5 5500GT(3.6GHz)","729600","729600","729600","0","2029.09.30"
"SAME","주식회사 컴피그","25593574","데스크톱컴퓨터, 컴피그, CMI-3A1M0, Intel Core i3 14100(3.5GHz)","731420","731420","731420","0","2029.09.30"
"SAME","주식회사 에이치케이시스템","25180372","데스크톱컴퓨터, 에이치케이시스템, HMAC-RMXC0PC, AMD Ryzen5 PRO 7645(3.8GHz)","736700","736700","736700","0","2029.09.30"
"SAME","(주)컴트리","25797471","데스크톱컴퓨터, 컴트리, CS4-E11-B0002, Intel Core i3 14100(3.5GHz)","737100","737100","737100","0","2029.09.30"
"SAME","(주)컴트리","25101215","데스크톱컴퓨터, 컴트리, CSG-D5H8KB0, Intel Core i5 13500(2.5GHz)","737900","737900","737900","0","2029.09.30"
"SAME","주식회사 리퓨터","25012709","데스크톱컴퓨터, 리퓨터, X3338S2N, Intel Core i3 13100(3.4GHz)","741800","741800","741800","0","2029.09.30"
"SAME","주식회사 리퓨터","25012722","데스크톱컴퓨터, 리퓨터, H4338S2N, Intel Core i3 13100(3.4GHz)","741800","741800","741800","0","2029.09.30"
"SAME","주식회사 에이텍컴퓨터","25576531","데스크톱컴퓨터, 에이텍컴퓨터, A4UM-3NACN, Intel Core i3 14100(3.5GHz)","743000","743000",,"0","2029.09.30"
"SAME","주식회사 에이치케이시스템","25180448","데스크톱컴퓨터, 에이치케이시스템, HSAC-RPXC0PB, AMD Ryzen7 PRO 7745(3.8GHz)","744500","744500","744500","0","2029.09.30"
"SAME","(주)컴트리","24483638","데스크톱컴퓨터, 컴트리, CSG-C5A1KB0, Intel Core i5 12500(3.0GHz)","751600","751600","751600","0","2029.09.30"
"SAME","주식회사 엔와이컴퓨터","24479452","데스크톱컴퓨터, 엔와이컴퓨터, NY-B124AI00, Intel Core i5 12400(2.5GHz)","752600","",,"0","2029.09.30"
"SAME","주식회사 비엔피","24663393","데스크톱컴퓨터, 비엔피, B3S-2T8S2H1, Intel Core i3 12100(3.3GHz)","753300","753300","753300","0","2029.09.30"
"SAME","주식회사 컴피그","25593573","데스크톱컴퓨터, 컴피그, CSI-3A1M0, Intel Core i3 14100(3.5GHz)","753420","753420","753420","0","2029.09.30"
"SAME","주식회사 메이커스테크놀로지","25708420","데스크톱컴퓨터, 메이커스테크놀로지, D12502H016, Intel Core i5 12500(2.1GHz)","754900","754900","754900","0","2029.09.30"
"SAME","주식회사 아이티에스","25155339","데스크톱컴퓨터, 아이티에스, ITS-DT13-G3B21, Intel Core i3 13100(3.4GHz)","756000","756000","756000","0","2028.02.12"
