"상태","업체명","식별번호","규격","2025-12-17","2025-12-24","2025-12-26","2025-12-30","2025-12-31","2026-01-02","변동액","계약종료일"
"UP","주식회사 대우루컴즈","26062344","데스크톱컴퓨터, 대우루컴즈, DT38AB-226500, Intel Core Ultra 5 225(3.3GHz)","","","1082000","1082000","1082000","1303000","221000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26060430","데스크톱컴퓨터, 에이텍컴퓨터, A5SC-3NBDN, Intel Core Ultra 5 225(3.3GHz)","","","1082000","1082000","1082000","1303000","221000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26060441","데스크톱컴퓨터, 에이텍컴퓨터, A5TC-3NBDN, Intel Core Ultra 5 225(3.3GHz)","","","1082000","1082000","1082000","1303000","221000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26023414","데스크톱컴퓨터, 에이텍컴퓨터, A4UM-5NBDS, Intel Core i5-14500(2.6GHz)","","","1096000","1095100","1095100","1165000","69900","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063769","데스크톱컴퓨터, 삼보컴퓨터, DT281-GD50E-001, Intel Core Ultra 5 225(3.3GHz)","","","1100000","","",,"0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063747","데스크톱컴퓨터, 삼보컴퓨터, DG481-GD50E-001, Intel Core Ultra 5 225(3.3GHz)","","","1100000","","",,"0","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26023410","데스크톱컴퓨터, 에이텍컴퓨터, A4SQ-4NCDF, Intel Core i5-14400(2.5GHz)","","","1127000","1127000","1127000","1536000","409000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26017846","데스크톱컴퓨터, 에이텍컴퓨터, A4TQ-4NCDF, Intel Core i5 14400(2.5GHz)","","","1127000","1127000","1127000","1536000","409000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26023401","데스크톱컴퓨터, 에이텍컴퓨터, A4KM-3NBDS, Intel Core i3-14100(3.5GHz)","","","1142000","1141800","1141800","1211000","69200","2029.09.30"
"UP","주식회사 대우루컴즈","26062336","데스크톱컴퓨터, 대우루컴즈, DS38AA-236500, Intel Core Ultra 5 235(3.4GHz)","","","1162000","1161000","1161000","1383000","222000","2029.09.30"
"UP","주식회사 대우루컴즈","26062347","데스크톱컴퓨터, 대우루컴즈, DT38AB-236500, Intel Core Ultra 5 235(3.4GHz)","","","1162000","1162000","1162000","1383000","221000","2029.09.30"
